source,target,weight
Chicago,DePaul,13
Chicago,Northwestern,10
Michigan,Chicago,11
Michigan,Illinois State,9
Michigan,Purdue,11
Michigan,Northwestern,15
Michigan,Indiana,15
Michigan,Illinois,15
Michigan,Notre Dame,6
Michigan,Kentucky,11
Michigan,Michigan State,11
Michigan,Grand Valley,15
Michigan,Western Michigan,15
Grand Valley,Kentucky,12
Grand Valley,Notre Dame,11
Grand Valley,Chicago,7
Grand Valley,Northwestern,12
Grand Valley,Michigan,6
Grand Valley,Michigan State,15
Kentucky,Grand Valley,10
Kentucky,Notre Dame,F
Kentucky,Purdue,7
Kentucky,Michigan,3
Kentucky,Loyola,11
Kentucky,Ball State,9
Kentucky,Indiana,10
Kentucky,Southern Indiana,13
Kentucky,Michigan State,5
Kentucky,Chicago,11
Notre Dame,Kentucky,W
Notre Dame,Grand Valley,5
Notre Dame,Michigan,13
Notre Dame,Purdue,11
Notre Dame,Southern Indiana,13
Notre Dame,Ball State,13
Notre Dame,Indiana,6
Notre Dame,Illinois,7
Notre Dame,Northwestern,2
Purdue,Michigan,10
Purdue,Northwestern,9
Purdue,Illinois,6
Purdue,Kentucky,11
Purdue,Notre Dame,12
Purdue,Indiana,6
Purdue,Southern Indiana,13
Purdue,Ball State,11
Northwestern,Michigan,2
Northwestern,Purdue,10
Northwestern,Indiana,7
Northwestern,Grand Valley,13
Northwestern,Notre Dame,15
Northwestern,Illinois,11
Northwestern,Michigan State,11
Northwestern,DePaul,13
Northwestern,Northern Illinois,13
Northwestern,Chicago,8
Northwestern,Illinois State,0
Northwestern,Loyola,15
Indiana,Loyola,15
Indiana,Illinois,6
Indiana,Michigan,4
Indiana,Chicago,11
Indiana,Northwestern,10
Indiana,Illinois State,13
Indiana,Ball State,13
Indiana,Purdue,9
Indiana,Southern Indiana,13
Indiana,Kentucky,7
Indiana,Notre Dame,15
Indiana,Michigan State,11
Loyola,Indiana,4
Loyola,Illinois,12
Loyola,Chicago,10
Loyola,Illinois State,6
Loyola,Kentucky,7
Loyola,Northwestern,5
Loyola,Northern Illinois,8
Loyola,DePaul,13
Illinois,Loyola,4
Illinois,Indiana,9
Illinois,Michigan,3
Illinois,Purdue,10
Illinois,Chicago,0
Illinois,Notre Dame,13
Illinois,Northwestern,8
Illinois,Michigan State,15
Illinois,Illinois State,13
Illinois,Illinois,1
Illinois,Northern Illinois,0
Illinois,DePaul,6
Knox,North Park,5
Knox,Eastern Illinois,12
Knox,Valparaiso,8
Knox,Olivet Nazarene,14
Knox,Wheaton,10
Knox,Butler,7
North Park,Knox,12
North Park,Valparaiso,4
North Park,Eastern Illinois,12
North Park,Butler,11
North Park,Rose,8
North Park,Olivet Nazarene,13
North Park,Wheaton,7
Valparaiso,Eastern Illinois,12
Valparaiso,North Park,15
Valparaiso,Knox,10
Valparaiso,Olivet Nazarene,13
Valparaiso,Butler,6
Valparaiso,Rose,13
Valparaiso,Indiana Wesleyan,12
Valparaiso,Kettering,13
Valparaiso,Kalamazoo,13
Valparaiso,Bowdoin,6
Valparaiso,Richmond,6
Valparaiso,Luther,9
Valparaiso,Franciscan,11
Valparaiso,Claremont,15
Eastern Illinois,Valparaiso,0
Eastern Illinois,Knox,7
Eastern Illinois,North Park,7
Eastern Illinois,Olivet Nazarene,5
Eastern Illinois,Wheaton,7
Butler,Wheaton,15
Butler,Rose,13
Butler,Olivet Nazarene,7
Butler,Valparaiso,13
Butler,North Park,12
Butler,Knox,5
Butler,Kalamazoo,13
Butler,Kettering,13
Butler,Indiana Wesleyan,13
Wheaton,Butler,5
Wheaton,Olivet Nazarene,5
Wheaton,Rose,9
Wheaton,Knox,5
Wheaton,Eastern Illinois,10
Wheaton,North Park,13
Wheaton,Wentworth,4
Wheaton,Brandeis,4
Wheaton,Stonehill,9
Wheaton,Bentley,4
Olivet Nazarene,Rose,14
Olivet Nazarene,Wheaton,13
Olivet Nazarene,Butler,14
Olivet Nazarene,Valparaiso,4
Olivet Nazarene,Knox,10
Olivet Nazarene,Eastern Illinois,13
Olivet Nazarene,North Park,14
Rose,Olivet Nazarene,7
Rose,Butler,5
Rose,Wheaton,4
Rose,Valparaiso,3
Rose,North Park,10
Rose,Indiana Wesleyan,11
Rose,Kalamazoo,8
Rose,Kettering,13
Syracuse,SUNY,12
Syracuse,Rutgers,5
Syracuse,Connecticut,9
Syracuse,Princeton,14
SUNY,Syracuse,10
SUNY,Rutgers,0
SUNY,SUNY,6
SUNY,Connecticut,9
SUNY,RIT,9
SUNY,Cornell,6
SUNY,NYU,7
SUNY,Marist,6
SUNY,Stevens Tech,9
SUNY,Hamilton,6
SUNY,Wesleyan,1
SUNY,Ithaca,4
SUNY,Rochester,8
SUNY,Rensselaer Polytech,8
SUNY,Southern Connecticut,12
SUNY,Sacred Heart,13
SUNY,Yale,0
SUNY,Princeton,8
SUNY,SUNY Oneonta,5
SUNY,Hofstra,11
SUNY,Rowan,13
SUNY,Columbia,10
Rutgers,SUNY,0
Rutgers,Syracuse,13
Rutgers,Connecticut,7
Rutgers,Yale,13
Rutgers,Princeton,9
Rutgers,Cornell,10
Rutgers,Columbia,11
Rutgers,New Jersey,13
Rutgers,NYU,10
Connecticut,SUNY,15
Connecticut,Rutgers,13
Connecticut,Cornell,15
Connecticut,Syracuse,15
Connecticut,Yale,11
Connecticut,Southern Connecticut,13
Connecticut,Sacred Heart,13
Connecticut,Princeton,12
RIT,SUNY,15
RIT,Cornell,13
RIT,Yale,12
Cornell,SUNY,13
Cornell,RIT,10
Cornell,Connecticut,10
Cornell,NYU,15
Cornell,SUNY Oneonta,13
Cornell,Rutgers,12
Cornell,Yale,15
Princeton,NYU,9
Princeton,Yale,12
Princeton,Syracuse,13
Princeton,Rutgers,7
Princeton,SUNY,9
Princeton,Connecticut,9
Princeton,Rowan,10
Princeton,Hofstra,13
NYU,Princeton,6
NYU,Yale,9
NYU,Cornell,8
NYU,SUNY,9
NYU,New Jersey,13
NYU,Columbia,10
NYU,Rutgers,7
Yale,NYU,12
Yale,Princeton,7
Yale,Rutgers,7
Yale,RIT,15
Yale,Sacred Heart,15
Yale,Connecticut,4
Yale,SUNY,0
Yale,Southern Connecticut,13
Yale,Cornell,3
Marist,SUNY,15
Marist,Hamilton,14
Marist,Wesleyan,15
Marist,Stevens Tech,15
Marist,New Haven,11
Marist,Rensselaer Polytech,11
Marist,Union,11
Marist,Skidmore,11
Stevens Tech,SUNY,11
Stevens Tech,Hamilton,8
Stevens Tech,Marist,10
Stevens Tech,Rensselaer Polytech,10
Stevens Tech,Rochester,13
Stevens Tech,Army,1
Stevens Tech,New York,13
Stevens Tech,College of,11
Hamilton,Stevens Tech,13
Hamilton,SUNY,12
Hamilton,Marist,15
Hamilton,Colgate,15
Hamilton,Rochester,14
Hamilton,Michigan Tech,11
Hamilton,Middlebury,10
Hamilton,Franciscan,13
Hamilton,Luther,5
Hamilton,Berry,7
Colgate,Rensselaer Polytech,11
Colgate,Wesleyan,0
Colgate,Hamilton,12
Colgate,Ithaca,13
Rensselaer Polytech,Colgate,7
Rensselaer Polytech,Wesleyan,5
Rensselaer Polytech,Stevens Tech,9
Rensselaer Polytech,SUNY,9
Rensselaer Polytech,Union,11
Rensselaer Polytech,Marist,5
Rensselaer Polytech,Skidmore,15
Rensselaer Polytech,New Haven,9
Rensselaer Polytech,Army,9
Wesleyan,Rensselaer Polytech,15
Wesleyan,Colgate,0
Wesleyan,Marist,12
Wesleyan,Army,15
Wesleyan,SUNY,15
Wesleyan,Saint Rose,11
Wesleyan,Hartford,11
Wesleyan,Vassar,11
Ithaca,Rochester,9
Ithaca,Army,0
Ithaca,Colgate,8
Ithaca,SUNY,13
Rochester,Ithaca,10
Rochester,Army,4
Rochester,Hamilton,6
Rochester,SUNY,11
Rochester,Stevens Tech,9
Army,Rochester,12
Army,Ithaca,0
Army,Wesleyan,14
Army,Stevens Tech,0
Army,Vassar,11
Army,Hartford,10
Army,Saint Rose,11
Army,Rensselaer Polytech,13
Brown,Vermont,13
Brown,Northeastern,9
Brown,Boston College,13
Brown,Massachusetts,5
Brown,MIT,13
Brown,Tufts,15
Brown,Dartmouth,11
Brown,Massachusetts Amherst,10
Brown,Rhode Island,13
Brown,New Hampshire,12
Brown,Maine,13
Brown,Colby,W
Brown,Amherst College,W
Vermont,Brown,8
Vermont,Boston College,12
Vermont,MIT,11
Vermont,Northeastern,10
Vermont,Massachusetts,13
Vermont,Tufts,6
Vermont,Harvard,15
Vermont,Dartmouth,13
Vermont,Maine,13
Vermont,New Hampshire,8
Vermont,Rhode Island,13
Vermont,Colby,10
Vermont,Amherst College,12
Vermont,Massachusetts Amherst,13
Northeastern,MIT,0
Northeastern,Brown,12
Northeastern,Massachusetts,15
Northeastern,Vermont,13
Northeastern,Boston College,11
Northeastern,Massachusetts Amherst,10
Northeastern,Dartmouth,8
Northeastern,Boston University,13
Northeastern,Harvard,13
Northeastern,Tufts,W
Northeastern,Northeastern,L
MIT,Northeastern,0
MIT,Massachusetts,15
MIT,Vermont,9
MIT,Boston College,8
MIT,Brown,6
MIT,Dartmouth,10
MIT,Harvard,12
MIT,Boston University,11
MIT,Tufts,6
Boston College,Massachusetts,15
Boston College,Vermont,11
Boston College,Brown,2
Boston College,MIT,11
Boston College,Northeastern,8
Boston College,Tufts,8
Boston College,Boston University,13
Boston College,Harvard,11
Massachusetts,Boston College,6
Massachusetts,MIT,5
Massachusetts,Northeastern,6
Massachusetts,Brown,13
Massachusetts,Vermont,15
Massachusetts,Tufts,0
Massachusetts,Harvard,5
Massachusetts,Dartmouth,11
Massachusetts,New Hampshire,13
Massachusetts,No Opponent,0
Massachusetts,Rhode Island,13
Massachusetts,Maine,13
Massachusetts,Amherst College,13
Massachusetts,Massachusetts Amherst,13
Massachusetts,Colby,13
Massachusetts,Massachusetts,15
Massachusetts,Boston University,4
Tufts,Massachusetts,13
Tufts,Dartmouth,13
Tufts,New Hampshire,0
Tufts,Harvard,F
Tufts,Tufts,F
Tufts,Brown,7
Tufts,Vermont,15
Tufts,Boston College,15
Tufts,Northeastern,F
Tufts,MIT,9
Tufts,Boston University,15
Harvard,New Hampshire,13
Harvard,Massachusetts,13
Harvard,Tufts,W
Harvard,Dartmouth,11
Harvard,Vermont,12
Harvard,MIT,6
Harvard,Northeastern,6
Harvard,Boston College,13
Harvard,Boston University,12
New Hampshire,Harvard,11
New Hampshire,Tufts,0
New Hampshire,Dartmouth,1
New Hampshire,Massachusetts,2
New Hampshire,Vermont,4
New Hampshire,Maine,11
New Hampshire,Brown,9
New Hampshire,Rhode Island,13
Dartmouth,Tufts,7
Dartmouth,Massachusetts,5
Dartmouth,New Hampshire,13
Dartmouth,Harvard,13
Dartmouth,MIT,15
Dartmouth,Vermont,7
Dartmouth,Brown,15
Dartmouth,Northeastern,9
Dartmouth,Massachusetts Amherst,9
Dartmouth,Colby,13
Dartmouth,Amherst College,W
Dartmouth,Bowdoin,13
Dartmouth,Bates College,13
Dartmouth,Middlebury,13
No Opponent,Massachusetts,0
No Opponent,Haverford,0
No Opponent,Shippensburg,0
No Opponent,Embry,0
No Opponent,Stetson,0
No Opponent,No Opponent,0
Middlebury,Bentley,15
Middlebury,Williams,14
Middlebury,Bowdoin,12
Middlebury,Bryant University,15
Middlebury,Colby,12
Middlebury,Bates College,10
Middlebury,Dartmouth,10
Middlebury,Franciscan,11
Middlebury,Hamilton,12
Middlebury,Michigan Tech,14
Middlebury,Air Force,15
Middlebury,Richmond,12
Middlebury,Bryant,15
Bentley,Middlebury,6
Bentley,Bowdoin,8
Bentley,Williams,3
Bentley,Bates College,9
Bentley,Brandeis,12
Bentley,Stonehill,13
Bentley,Wheaton,13
Bentley,Wentworth,13
Bowdoin,Williams,15
Bowdoin,Bentley,15
Bowdoin,Middlebury,7
Bowdoin,Bryant University,15
Bowdoin,Colby,10
Bowdoin,Bates College,13
Bowdoin,Dartmouth,7
Bowdoin,Valparaiso,10
Bowdoin,Luther,14
Bowdoin,Richmond,11
Bowdoin,Air Force,10
Bowdoin,Michigan Tech,13
Williams,Bowdoin,6
Williams,Middlebury,11
Williams,Bentley,15
Williams,Colby,8
Williams,Bates College,15
Williams,Brandeis,15
Bryant University,Brandeis,11
Bryant University,Bates College,15
Bryant University,Colby,6
Bryant University,Middlebury,2
Bryant University,Bowdoin,5
Brandeis,Bryant University,7
Brandeis,Colby,8
Brandeis,Bates College,4
Brandeis,Williams,10
Brandeis,Bentley,11
Brandeis,Wheaton,13
Brandeis,Wentworth,13
Brandeis,Stonehill,15
Colby,Bates College,13
Colby,Brandeis,15
Colby,Bryant University,10
Colby,Bowdoin,13
Colby,Williams,15
Colby,Vermont,5
Colby,Brown,F
Colby,Massachusetts Amherst,1
Colby,Dartmouth,4
Colby,Amherst College,W
Colby,Massachusetts,2
Colby,Middlebury,10
Colby,Berry,11
Colby,Missouri ,8
Colby,Carleton Colleg,5
Colby,Bryant,5
Colby,Claremont,11
Colby,Franciscan,12
Bates College,Colby,6
Bates College,Bryant University,7
Bates College,Brandeis,15
Bates College,Williams,11
Bates College,Bentley,10
Bates College,Bowdoin,5
Bates College,Middlebury,8
Bates College,Dartmouth,5
Massachusetts Amherst,Northeastern,12
Massachusetts Amherst,Brown,13
Massachusetts Amherst,Dartmouth,12
Massachusetts Amherst,Amherst College,13
Massachusetts Amherst,Colby,13
Massachusetts Amherst,Massachusetts,11
Massachusetts Amherst,Vermont,11
Michigan Tech,St Olaf,12
Michigan Tech,St John,13
Michigan Tech,Winona State,13
Michigan Tech,St,13
Michigan Tech,Carleton College,7
Michigan Tech,Luther,F
Michigan Tech,Milwaukee School,13
Michigan Tech,Wisconsin,13
Michigan Tech,Carthage College,13
Michigan Tech,Hamilton,13
Michigan Tech,Franciscan,15
Michigan Tech,Middlebury,9
Michigan Tech,Bowdoin,10
Michigan Tech,Portland,4
St Olaf,Michigan Tech,9
St Olaf,St,15
St Olaf,St John,15
St Olaf,Winona State,7
St Olaf,Luther,7
St Olaf,Wisconsin,15
St Olaf,Carleton Hot,15
St Olaf,Macalester,15
St Olaf,Carleton College,4
Winona State,St John,15
Winona State,Michigan Tech,7
Winona State,St,12
Winona State,St Olaf,6
Winona State,Carleton College,3
Winona State,Macalester,14
Winona State,Bethel,1
St John,Winona State,6
St John,Michigan Tech,7
St John,St,15
St John,St Olaf,11
St John,Carleton Hot,11
St John,Macalester,12
St John,Bethel,14
St,St Olaf,12
St,St John,13
St,Winona State,15
St,Michigan Tech,7
St,Macalester,12
St,Wisconsin,14
St,Carleton College,4
St,Bethel,15
Macalester,Wisconsin,13
Macalester,Carleton College,7
Macalester,Carleton Hot,15
Macalester,Luther,7
Macalester,Winona State,15
Macalester,St,15
Macalester,St John,13
Macalester,St Olaf,10
Wisconsin,Macalester,8
Wisconsin,Carleton College,8
Wisconsin,Carleton Hot,13
Wisconsin,Luther,1
Wisconsin,St Olaf,13
Wisconsin,St,15
Wisconsin,Wisconsin,9
Wisconsin,Marquette,15
Wisconsin,Northern Michigan,9
Wisconsin,Carthage College,12
Wisconsin,Michigan Tech,5
Wisconsin,Milwaukee School,7
Wisconsin,Minnesota,10
Wisconsin,Iowa State,9
Carleton College,Luther,11
Carleton College,Wisconsin,12
Carleton College,Macalester,13
Carleton College,Carleton Hot,13
Carleton College,Michigan Tech,13
Carleton College,Winona State,15
Carleton College,Minnesota,12
Carleton College,North Dakota,13
Carleton College,Minnesota State,13
Carleton College,Bethel,15
Carleton College,St,15
Carleton College,St Olaf,15
Luther,Carleton College,4
Luther,Carleton Hot,13
Luther,Wisconsin,0
Luther,Macalester,15
Luther,Michigan Tech,F
Luther,St Olaf,13
Luther,Minnesota,0
Luther,Marquette,6
Luther,Richmond,8
Luther,Bowdoin,13
Luther,Valparaiso,14
Luther,Carleton Colleg,10
Luther,Hamilton,14
Carleton Hot,Luther,4
Carleton Hot,Wisconsin,8
Carleton Hot,Macalester,10
Carleton Hot,Carleton College,1
Carleton Hot,St John,10
Carleton Hot,St Olaf,10
Carleton Hot,Bethel,15
Washington,British Columbia,1
Washington,Victoria,8
Washington,Montana,13
Washington,Idaho,13
Washington,Utah,13
Washington,Oregon,13
Washington,Oregon State,5
Washington,Western Washington,1
Washington,Washington,1
British Columbia,Washington,13
British Columbia,Montana,9
British Columbia,Utah,9
British Columbia,Victoria,13
British Columbia,Idaho,13
British Columbia,Montana State,0
British Columbia,Utah State,15
British Columbia,Boise State,W
British Columbia,Western Washington,13
British Columbia,Oregon State,6
Victoria,Utah,14
Victoria,Washington,13
Victoria,Idaho,13
Victoria,British Columbia,6
Victoria,Montana,14
Victoria,Oregon,6
Victoria,Western Washington,12
Victoria,Oregon State,13
Utah,Victoria,7
Utah,Idaho,13
Utah,British Columbia,10
Utah,Montana,13
Utah,Washington,9
Utah,Oregon State,14
Utah,Whitman,12
Utah,Gonzaga,13
Utah,Brigham Young,13
Utah,Boise State,13
Utah,Washington State,13
Utah,Utah State,9
Utah,Montana State,11
Montana,Idaho,13
Montana,British Columbia,11
Montana,Washington,2
Montana,Utah,5
Montana,Victoria,8
Montana,Montana State,11
Montana,Oregon State,F
Montana,Utah State,10
Montana,Brigham Young,6
Montana,Boise State,13
Idaho,Montana,8
Idaho,Utah,9
Idaho,Victoria,5
Idaho,Washington,6
Idaho,British Columbia,4
Idaho,Utah State,6
Idaho,Boise State,10
Idaho,Brigham Young,6
Idaho,Montana State,10
Idaho,Gonzaga,10
Oregon,Oregon State,13
Oregon,Whitman,13
Oregon,Utah State,13
Oregon,Boise State,13
Oregon,Montana State,13
Oregon,Washington,10
Oregon,Victoria,9
Oregon,Western Washington,13
Oregon State,Oregon,2
Oregon State,Utah State,13
Oregon State,Montana State,9
Oregon State,Whitman,13
Oregon State,Boise State,13
Oregon State,Washington,8
Oregon State,Utah,11
Oregon State,Montana,F
Oregon State,Western Washington,7
Oregon State,Oregon State,6
Oregon State,Victoria,10
Oregon State,British Columbia,13
Whitman,Montana State,F
Whitman,Oregon,6
Whitman,Boise State,13
Whitman,Oregon State,8
Whitman,Utah State,13
Whitman,Utah,11
Whitman,Pacific Lutheran,13
Whitman,Willamette University,13
Whitman,Portland,15
Whitman,Lewis,13
Whitman,Seattle,W
Montana State,Whitman,F
Montana State,Boise State,12
Montana State,Oregon State,10
Montana State,Utah State,10
Montana State,Oregon,9
Montana State,Montana,13
Montana State,British Columbia,0
Montana State,Brigham Young,5
Montana State,Idaho,13
Montana State,Utah,6
Montana State,Washington State,11
Utah State,Boise State,13
Utah State,Oregon State,11
Utah State,Oregon,9
Utah State,Montana State,13
Utah State,Whitman,9
Utah State,British Columbia,8
Utah State,Idaho,13
Utah State,Montana,12
Utah State,Brigham Young,9
Utah State,Utah,12
Boise State,Utah State,6
Boise State,Montana State,5
Boise State,Whitman,3
Boise State,Oregon,1
Boise State,Oregon State,4
Boise State,British Columbia,L
Boise State,Idaho,13
Boise State,Brigham Young,13
Boise State,Washington State,8
Boise State,Gonzaga,12
Boise State,Utah,8
Boise State,Montana,2
Pittsburgh,Ohio State,0
Pittsburgh,Carnegie Mellon,15
Pittsburgh,Villanova,15
Pittsburgh,Miami,W
Pittsburgh,Temple,W
Pittsburgh,Lehigh,10
Pittsburgh,Pennsylvania,13
Pittsburgh,Penn State,14
Pittsburgh,Case Western,14
Pittsburgh,Oberlin,W
Ohio State,Pittsburgh,0
Ohio State,Ohio,15
Ohio State,Cincinnati,13
Ohio State,West Chester,15
Ohio State,Toledo,13
Ohio State,Miami,13
Ohio State,Kent State,13
Ohio State,Case Western,10
Ohio State,Pennsylvania,13
Ohio State,Oberlin,13
Ohio State,Temple,11
Ohio State,Penn State,9
Carnegie Mellon,Pittsburgh,9
Carnegie Mellon,Drexel,13
Carnegie Mellon,Dayton,14
Carnegie Mellon,Ohio,14
Carnegie Mellon,Penn State,12
Ohio,Ohio State,1
Ohio,Temple,14
Ohio,Lehigh,15
Ohio,Carnegie Mellon,7
Ohio,Villanova,W
Ohio,Dayton,11
Ohio,Wright State,11
Ohio,Cleveland State,11
Ohio,Akron,11
Ohio,Case Western,11
Ohio,Cincinnati,0
Villanova,Pittsburgh,3
Villanova,Case Western,14
Villanova,Ohio,F
Villanova,Lehigh,11
Villanova,West Chester,W
Villanova,Saint Joseph,13
Villanova,Pennsylvania,W
Villanova,Temple,11
Drexel,Carnegie Mellon,5
Drexel,Penn State,15
Drexel,Lehigh,15
Drexel,West Chester,15
Drexel,Millersville,13
Drexel,Temple,4
Drexel,Saint Joseph,15
Temple,Ohio,13
Temple,Pittsburgh,F
Temple,Penn State,10
Temple,Cincinnati,5
Temple,West Chester,12
Temple,Millersville,12
Temple,Drexel,10
Temple,Villanova,13
Temple,Lehigh,15
Temple,Case Western,8
Temple,Ohio State,10
Temple,Pennsylvania,11
Temple,Oberlin,W
Cincinnati,Ohio State,6
Cincinnati,Pennsylvania,12
Cincinnati,Case Western,9
Cincinnati,Temple,11
Cincinnati,Kent State,13
Cincinnati,Toledo,13
Cincinnati,Miami,13
Cincinnati,Ohio,0
Miami,Pittsburgh,0
Miami,Case Western,F
Miami,Dayton,9
Miami,South Florida,7
Miami,Central Florida,5
Miami,Florida Atlantic,11
Miami,North Florida,W
Miami,Kent State,13
Miami,Toledo,13
Miami,Ohio State,3
Miami,Cincinnati,5
Case Western,Villanova,13
Case Western,Penn State,0
Case Western,Cincinnati,15
Case Western,Miami,W
Case Western,Wright State,11
Case Western,Akron,11
Case Western,Dayton,11
